Episode,Total Reward,Epsilon,Attempts,Success
1,148,0.995,4,1
2,145,0.990025,3,1
3,141,0.985074875,3,1
4,127,0.9801495006250001,2,1
5,145,0.9752487531218751,4,1
6,150,0.9703725093562657,4,1
7,140,0.9655206468094844,4,1
8,136,0.960693043575437,3,1
9,139,0.9558895783575597,4,1
10,153,0.9511101304657719,4,1
11,152,0.946354579813443,3,1
12,135,0.9416228069143757,4,1
13,146,0.9369146928798039,4,1
14,157,0.9322301194154049,4,1
15,140,0.9275689688183278,3,1
16,135,0.9229311239742362,3,1
17,52,0.918316468354365,6,0
18,142,0.9137248860125932,3,1
19,142,0.9091562615825302,4,1
20,159,0.9046104802746175,4,1
21,179,0.9000874278732445,5,1
22,139,0.8955869907338783,3,1
23,135,0.8911090557802088,3,1
24,134,0.8866535105013078,3,1
25,150,0.8822202429488013,5,1
26,146,0.8778091417340573,3,1
27,138,0.8734200960253871,3,1
28,159,0.8690529955452602,5,1
29,159,0.8647077305675338,5,1
30,136,0.8603841919146962,4,1
31,145,0.8560822709551227,4,1
32,168,0.851801859600347,5,1
33,160,0.8475428503023453,5,1
34,146,0.8433051360508336,5,1
35,165,0.8390886103705794,5,1
36,134,0.8348931673187264,2,1
37,141,0.8307187014821328,3,1
38,147,0.8265651079747222,3,1
39,142,0.8224322824348486,3,1
40,147,0.8183201210226743,5,1
41,143,0.8142285204175609,4,1
42,174,0.810157377815473,5,1
43,140,0.8061065909263957,4,1
44,155,0.8020760579717637,4,1
45,140,0.798065677681905,3,1
46,157,0.7940753492934954,4,1
47,137,0.7901049725470279,3,1
48,169,0.7861544476842928,6,1
49,85,0.7822236754458713,6,0
50,143,0.778312557068642,4,1
51,127,0.7744209942832988,4,1
52,145,0.7705488893118823,4,1
53,134,0.7666961448653229,2,1
54,143,0.7628626641409962,4,1
55,144,0.7590483508202912,3,1
56,137,0.7552531090661897,3,1
57,136,0.7514768435208588,3,1
58,158,0.7477194593032545,5,1
59,147,0.7439808620067382,3,1
60,157,0.7402609576967045,5,1
61,182,0.736559652908221,6,1
62,146,0.7328768546436799,4,1
63,152,0.7292124703704616,4,1
64,145,0.7255664080186093,4,1
65,155,0.7219385759785162,5,1
66,147,0.7183288830986236,4,1
67,147,0.7147372386831305,4,1
68,134,0.7111635524897149,4,1
69,155,0.7076077347272662,4,1
70,184,0.7040696960536299,5,1
71,149,0.7005493475733617,4,1
72,141,0.697046600835495,3,1
73,137,0.6935613678313175,4,1
74,181,0.6900935609921609,6,1
75,142,0.6866430931872001,3,1
76,144,0.6832098777212641,3,1
77,140,0.6797938283326578,4,1
78,144,0.6763948591909945,3,1
79,152,0.6730128848950395,4,1
80,165,0.6696478204705644,4,1
81,170,0.6662995813682115,5,1
82,149,0.6629680834613705,4,1
83,137,0.6596532430440636,3,1
84,142,0.6563549768288433,3,1
85,150,0.653073201944699,4,1
86,180,0.6498078359349755,5,1
87,140,0.6465587967553006,3,1
88,132,0.6433260027715241,2,1
89,131,0.6401093727576664,3,1
90,132,0.6369088258938781,4,1
91,138,0.6337242817644086,4,1
92,162,0.6305556603555866,4,1
93,142,0.6274028820538087,3,1
94,51,0.6242658676435396,6,0
95,129,0.6211445383053219,3,1
96,146,0.6180388156137953,4,1
97,136,0.6149486215357263,3,1
98,173,0.6118738784280476,5,1
99,152,0.6088145090359074,3,1
100,175,0.6057704364907278,6,1
101,142,0.6027415843082742,4,1
102,146,0.5997278763867329,4,1
103,154,0.5967292370047992,5,1
104,140,0.5937455908197752,3,1
105,134,0.5907768628656763,2,1
106,143,0.5878229785513479,4,1
107,152,0.5848838636585911,3,1
108,184,0.5819594443402982,6,1
109,133,0.5790496471185967,3,1
110,162,0.5761543988830038,5,1
111,159,0.5732736268885887,5,1
112,137,0.5704072587541458,4,1
113,130,0.567555222460375,3,1
114,139,0.5647174463480732,3,1
115,151,0.5618938591163328,4,1
116,151,0.5590843898207511,4,1
117,134,0.5562889678716474,2,1
118,145,0.5535075230322891,4,1
119,167,0.5507399854171277,5,1
120,174,0.547986285490042,5,1
121,133,0.5452463540625918,4,1
122,150,0.5425201222922789,3,1
123,132,0.5398075216808175,3,1
124,147,0.5371084840724134,3,1
125,154,0.5344229416520513,3,1
126,155,0.531750826943791,4,1
127,149,0.5290920728090721,3,1
128,139,0.5264466124450268,5,1
129,158,0.5238143793828016,4,1
130,140,0.5211953074858876,3,1
131,139,0.5185893309484582,4,1
132,138,0.5159963842937159,4,1
133,134,0.5134164023722473,4,1
134,129,0.510849320360386,2,1
135,160,0.5082950737585841,5,1
136,163,0.5057535983897912,5,1
137,134,0.5032248303978422,3,1
138,135,0.500708706245853,3,1
139,166,0.4982051627146237,4,1
140,157,0.49571413690105054,4,1
141,137,0.4932355662165453,3,1
142,143,0.4907693883854626,4,1
143,140,0.4883155414435353,3,1
144,160,0.4858739637363176,5,1
145,143,0.483444593917636,4,1
146,65,0.4810273709480478,6,0
147,158,0.47862223409330756,4,1
148,145,0.47622912292284103,4,1
149,137,0.4738479773082268,4,1
150,172,0.47147873742168567,5,1
151,151,0.46912134373457726,4,1
152,176,0.46677573701590436,6,1
153,139,0.46444185833082485,3,1
154,143,0.46211964903917074,4,1
155,142,0.4598090507939749,4,1
156,140,0.457510005540005,2,1
157,133,0.45522245551230495,2,1
158,134,0.4529463432347434,4,1
159,141,0.4506816115185697,4,1
160,143,0.4484282034609769,4,1
161,147,0.446186062443672,3,1
162,156,0.4439551321314536,5,1
163,139,0.4417353564707963,4,1
164,137,0.43952667968844233,4,1
165,136,0.43732904629000013,4,1
166,145,0.4351424010585501,3,1
167,148,0.43296668905325736,4,1
168,165,0.43080185560799106,5,1
169,141,0.4286478463299511,3,1
170,157,0.42650460709830135,4,1
171,142,0.42437208406280985,3,1
172,150,0.4222502236424958,4,1
173,152,0.42013897252428334,5,1
174,151,0.4180382776616619,4,1
175,139,0.4159480862733536,4,1
176,141,0.41386834584198684,4,1
177,171,0.4117990041127769,5,1
178,141,0.40974000909221303,4,1
179,142,0.40769130904675194,3,1
180,137,0.40565285250151817,4,1
181,136,0.4036245882390106,3,1
182,144,0.4016064652978155,3,1
183,140,0.3995984329713264,4,1
184,144,0.3976004408064698,4,1
185,169,0.39561243860243744,5,1
186,136,0.3936343764094253,3,1
187,134,0.39166620452737816,2,1
188,139,0.3897078735047413,3,1
189,151,0.3877593341372176,4,1
190,143,0.3858205374665315,4,1
191,135,0.38389143477919885,4,1
192,149,0.3819719776053028,4,1
193,133,0.3800621177172763,4,1
194,140,0.37816180712868996,3,1
195,154,0.37627099809304654,4,1
196,134,0.3743896431025813,3,1
197,137,0.37251769488706843,3,1
198,133,0.3706551064126331,2,1
199,138,0.36880183088056995,3,1
200,149,0.3669578217261671,5,1
201,161,0.36512303261753626,5,1
202,151,0.3632974174544486,4,1
203,145,0.3614809303671764,3,1
204,135,0.3596735257153405,3,1
205,175,0.3578751580867638,5,1
206,162,0.35608578229633,5,1
207,144,0.3543053533848483,4,1
208,145,0.35253382661792404,4,1
209,141,0.3507711574848344,3,1
210,137,0.34901730169741024,3,1
211,143,0.3472722151889232,3,1
212,144,0.3455358541129786,3,1
213,134,0.3438081748424137,4,1
214,141,0.3420891339682016,3,1
215,136,0.3403786882983606,3,1
216,148,0.3386767948568688,4,1
217,81,0.33698341088258443,6,0
218,159,0.3352984938281715,5,1
219,164,0.33362200135903064,4,1
220,145,0.33195389135223546,4,1
221,134,0.3302941218954743,3,1
222,146,0.32864265128599696,3,1
223,194,0.326999438029567,6,1
224,142,0.3253644408394192,4,1
225,181,0.3237376186352221,5,1
226,147,0.322118930542046,4,1
227,136,0.32050833588933575,3,1
228,142,0.31890579420988907,3,1
229,147,0.3173112652388396,4,1
230,139,0.3157247089126454,4,1
231,131,0.3141460853680822,3,1
232,155,0.3125753549412418,4,1
233,134,0.31101247816653554,3,1
234,139,0.30945741577570285,3,1
235,147,0.3079101286968243,5,1
236,138,0.3063705780533402,4,1
237,144,0.30483872516307353,3,1
238,131,0.3033145315372582,3,1
239,167,0.3017979588795719,4,1
240,131,0.30028896908517405,3,1
241,153,0.2987875242397482,4,1
242,133,0.29729358661854943,3,1
243,133,0.29580711868545667,3,1
244,143,0.2943280830920294,5,1
245,149,0.29285644267656924,4,1
246,140,0.2913921604631864,4,1
247,157,0.28993519966087045,5,1
248,138,0.2884855236625661,3,1
249,151,0.28704309604425327,5,1
250,134,0.285607880564032,3,1
251,153,0.28417984116121187,5,1
252,153,0.2827589419554058,5,1
253,139,0.28134514724562876,3,1
254,140,0.2799384215094006,3,1
255,137,0.27853872940185365,3,1
256,140,0.27714603575484437,4,1
257,137,0.2757603055760701,2,1
258,140,0.2743815040481898,4,1
259,162,0.2730095965279488,5,1
260,138,0.27164454854530906,3,1
261,134,0.2702863258025825,4,1
262,154,0.2689348941735696,3,1
263,145,0.26759021970270175,4,1
264,139,0.2662522686041882,3,1
265,148,0.2649210072611673,4,1
266,168,0.26359640222486147,6,1
267,144,0.26227842021373715,5,1
268,145,0.2609670281126685,3,1
269,143,0.25966219297210513,4,1
270,141,0.2583638820072446,3,1
271,141,0.2570720625972084,4,1
272,136,0.25578670228422234,4,1
273,157,0.25450776877280124,5,1
274,139,0.2532352299289372,4,1
275,147,0.2519690537792925,4,1
276,146,0.2507092085103961,4,1
277,169,0.2494556624678441,6,1
278,155,0.24820838415550486,5,1
279,145,0.24696734223472733,3,1
280,183,0.2457325055235537,6,1
281,139,0.24450384299593592,3,1
282,138,0.24328132378095624,3,1
283,143,0.24206491716205145,4,1
284,134,0.2408545925762412,3,1
285,132,0.23965031961336,2,1
286,145,0.2384520680152932,3,1
287,174,0.23725980767521673,5,1
288,149,0.23607350863684065,3,1
289,147,0.23489314109365644,4,1
290,153,0.23371867538818816,4,1
291,140,0.23255008201124722,3,1
292,137,0.231387331601191,4,1
293,139,0.23023039494318503,3,1
294,151,0.2290792429684691,4,1
295,157,0.22793384675362674,5,1
296,158,0.22679417751985861,4,1
297,161,0.22566020663225933,4,1
298,145,0.22453190559909803,5,1
299,144,0.22340924607110255,5,1
300,69,0.22229219984074702,6,0
301,152,0.2211807388415433,4,1
302,159,0.22007483514733558,4,1
303,60,0.2189744609715989,6,0
304,132,0.2178795886667409,4,1
305,135,0.2167901907234072,4,1
306,149,0.21570623976979014,3,1
307,132,0.21462770857094118,3,1
308,131,0.21355457002808648,3,1
309,143,0.21248679717794605,3,1
310,173,0.21142436319205632,5,1
311,162,0.21036724137609603,4,1
312,196,0.20931540516921554,6,1
313,139,0.20826882814336947,3,1
314,141,0.20722748400265262,3,1
315,147,0.20619134658263935,4,1
316,141,0.20516038984972615,5,1
