Episode,Total Reward,Attempts,Success,Epsilon
1,192,3,1,0.995
2,186,4,1,0.990025
3,226,4,1,0.985074875
4,196,4,1,0.9801495006250001
5,156,4,1,0.9752487531218751
6,234,6,1,0.9703725093562657
7,201,4,1,0.9655206468094844
8,167,3,1,0.960693043575437
9,176,4,1,0.9558895783575597
10,226,4,1,0.9511101304657719
11,225,5,1,0.946354579813443
12,220,5,1,0.9416228069143757
13,157,3,1,0.9369146928798039
14,172,3,1,0.9322301194154049
15,157,3,1,0.9275689688183278
16,176,4,1,0.9229311239742362
17,187,3,1,0.918316468354365
18,192,3,1,0.9137248860125932
19,225,5,1,0.9091562615825302
20,196,4,1,0.9046104802746175
21,176,4,1,0.9000874278732445
22,191,4,1,0.8955869907338783
23,152,3,1,0.8911090557802088
24,162,3,1,0.8866535105013078
25,172,3,1,0.8822202429488013
26,167,3,1,0.8778091417340573
27,157,3,1,0.8734200960253871
28,186,4,1,0.8690529955452602
29,206,4,1,0.8647077305675338
30,250,5,1,0.8603841919146962
31,192,3,1,0.8560822709551227
32,187,3,1,0.851801859600347
33,189,6,0,0.8475428503023453
34,230,5,1,0.8433051360508336
35,240,5,1,0.8390886103705794
36,177,3,1,0.8348931673187264
37,191,4,1,0.8307187014821328
38,196,4,1,0.8265651079747222
39,220,5,1,0.8224322824348486
40,186,4,1,0.8183201210226743
41,254,6,1,0.8142285204175609
42,181,4,1,0.810157377815473
43,182,3,1,0.8061065909263957
44,207,3,1,0.8020760579717637
45,197,3,1,0.798065677681905
46,196,4,1,0.7940753492934954
47,191,4,1,0.7901049725470279
48,215,5,1,0.7861544476842928
49,197,3,1,0.7822236754458713
50,177,3,1,0.778312557068642
51,221,4,1,0.7744209942832988
52,231,4,1,0.7705488893118823
53,220,5,1,0.7666961448653229
54,166,4,1,0.7628626641409962
55,162,3,1,0.7590483508202912
56,192,3,1,0.7552531090661897
57,245,5,1,0.7514768435208588
58,196,4,1,0.7477194593032545
59,187,3,1,0.7439808620067382
60,201,4,1,0.7402609576967045
61,249,6,1,0.736559652908221
62,260,5,1,0.7328768546436799
63,186,4,1,0.7292124703704616
64,200,5,1,0.7255664080186093
65,167,3,1,0.7219385759785162
66,206,4,1,0.7183288830986236
67,187,3,1,0.7147372386831305
68,161,4,1,0.7111635524897149
69,181,4,1,0.7076077347272662
70,181,4,1,0.7040696960536299
71,182,3,1,0.7005493475733617
72,168,2,1,0.697046600835495
73,166,4,1,0.6935613678313175
74,176,4,1,0.6900935609921609
75,182,3,1,0.6866430931872001
76,176,4,1,0.6832098777212641
77,182,3,1,0.6797938283326578
78,197,3,1,0.6763948591909945
79,221,4,1,0.6730128848950395
80,182,3,1,0.6696478204705644
81,249,6,1,0.6662995813682115
82,210,5,1,0.6629680834613705
83,211,4,1,0.6596532430440636
84,245,5,1,0.6563549768288433
85,178,2,1,0.653073201944699
86,200,5,1,0.6498078359349755
87,235,5,1,0.6465587967553006
88,201,4,1,0.6433260027715241
89,172,3,1,0.6401093727576664
90,229,6,1,0.6369088258938781
91,216,4,1,0.6337242817644086
92,225,5,1,0.6305556603555866
93,201,4,1,0.6274028820538087
94,220,5,1,0.6242658676435396
95,211,4,1,0.6211445383053219
96,162,3,1,0.6180388156137953
97,166,4,1,0.6149486215357263
98,211,4,1,0.6118738784280476
99,207,3,1,0.6088145090359074
100,191,4,1,0.6057704364907278
101,234,6,1,0.6027415843082742
102,255,5,1,0.5997278763867329
103,229,6,1,0.5967292370047992
104,190,5,1,0.5937455908197752
105,210,5,1,0.5907768628656763
106,211,4,1,0.5878229785513479
107,250,5,1,0.5848838636585911
108,191,4,1,0.5819594443402982
109,221,4,1,0.5790496471185967
110,181,4,1,0.5761543988830038
111,185,5,1,0.5732736268885887
112,201,4,1,0.5704072587541458
113,200,5,1,0.567555222460375
114,202,3,1,0.5647174463480732
115,167,3,1,0.5618938591163328
116,225,5,1,0.5590843898207511
117,226,4,1,0.5562889678716474
118,216,4,1,0.5535075230322891
119,196,4,1,0.5507399854171277
120,265,5,1,0.547986285490042
121,216,4,1,0.5452463540625918
122,205,5,1,0.5425201222922789
123,172,3,1,0.5398075216808175
124,221,4,1,0.5371084840724134
125,167,3,1,0.5344229416520513
126,176,4,1,0.531750826943791
127,240,5,1,0.5290920728090721
128,191,4,1,0.5264466124450268
129,167,3,1,0.5238143793828016
130,215,5,1,0.5211953074858876
131,166,4,1,0.5185893309484582
132,182,3,1,0.5159963842937159
133,215,5,1,0.5134164023722473
134,211,4,1,0.510849320360386
135,177,3,1,0.5082950737585841
136,245,5,1,0.5057535983897912
137,207,3,1,0.5032248303978422
138,186,4,1,0.500708706245853
139,191,4,1,0.4982051627146237
140,181,4,1,0.49571413690105054
141,201,4,1,0.4932355662165453
142,186,4,1,0.4907693883854626
143,196,4,1,0.4883155414435353
144,211,4,1,0.4858739637363176
145,181,4,1,0.483444593917636
146,176,4,1,0.4810273709480478
147,201,4,1,0.47862223409330756
148,177,3,1,0.47622912292284103
149,205,5,1,0.4738479773082268
150,176,4,1,0.47147873742168567
151,185,5,1,0.46912134373457726
152,196,4,1,0.46677573701590436
153,187,3,1,0.46444185833082485
154,220,5,1,0.46211964903917074
155,182,3,1,0.4598090507939749
156,176,4,1,0.457510005540005
157,171,4,1,0.45522245551230495
158,177,3,1,0.4529463432347434
159,186,4,1,0.4506816115185697
160,177,3,1,0.4484282034609769
161,176,4,1,0.446186062443672
162,231,4,1,0.4439551321314536
163,186,4,1,0.4417353564707963
164,181,4,1,0.43952667968844233
165,197,3,1,0.43732904629000013
166,191,4,1,0.4351424010585501
167,230,5,1,0.43296668905325736
168,187,3,1,0.43080185560799106
169,163,2,1,0.4286478463299511
170,225,5,1,0.42650460709830135
171,182,3,1,0.42437208406280985
172,171,4,1,0.4222502236424958
173,192,3,1,0.42013897252428334
174,196,4,1,0.4180382776616619
175,196,4,1,0.4159480862733536
176,211,4,1,0.41386834584198684
177,191,4,1,0.4117990041127769
178,172,3,1,0.40974000909221303
179,191,4,1,0.40769130904675194
180,151,4,1,0.40565285250151817
181,182,3,1,0.4036245882390106
182,236,4,1,0.4016064652978155
183,225,5,1,0.3995984329713264
184,176,4,1,0.3976004408064698
185,181,4,1,0.39561243860243744
186,187,3,1,0.3936343764094253
187,176,4,1,0.39166620452737816
188,192,3,1,0.3897078735047413
189,220,5,1,0.3877593341372176
190,186,4,1,0.3858205374665315
191,280,5,1,0.38389143477919885
192,182,3,1,0.3819719776053028
193,162,3,1,0.3800621177172763
194,216,4,1,0.37816180712868996
195,215,5,1,0.37627099809304654
196,169,6,0,0.3743896431025813
197,169,6,0,0.37251769488706843
198,259,6,1,0.3706551064126331
199,230,5,1,0.36880183088056995
200,144,6,0,0.3669578217261671
201,161,4,1,0.36512303261753626
202,176,4,1,0.3632974174544486
203,240,5,1,0.3614809303671764
204,177,3,1,0.3596735257153405
205,191,4,1,0.3578751580867638
206,206,4,1,0.35608578229633
207,172,3,1,0.3543053533848483
208,167,3,1,0.35253382661792404
209,234,6,1,0.3507711574848344
210,211,4,1,0.34901730169741024
211,177,3,1,0.3472722151889232
212,167,3,1,0.3455358541129786
213,230,5,1,0.3438081748424137
214,182,3,1,0.3420891339682016
215,177,3,1,0.3403786882983606
216,197,3,1,0.3386767948568688
217,181,4,1,0.33698341088258443
218,207,3,1,0.3352984938281715
219,167,3,1,0.33362200135903064
220,177,3,1,0.33195389135223546
221,196,4,1,0.3302941218954743
222,177,3,1,0.32864265128599696
223,211,4,1,0.326999438029567
224,211,4,1,0.3253644408394192
225,167,3,1,0.3237376186352221
226,167,3,1,0.322118930542046
227,182,3,1,0.32050833588933575
228,231,4,1,0.31890579420988907
229,186,4,1,0.3173112652388396
230,176,4,1,0.3157247089126454
231,182,3,1,0.3141460853680822
232,171,4,1,0.3125753549412418
233,172,3,1,0.31101247816653554
234,167,3,1,0.30945741577570285
235,172,3,1,0.3079101286968243
236,209,6,1,0.3063705780533402
237,181,4,1,0.30483872516307353
238,192,3,1,0.3033145315372582
239,176,4,1,0.3017979588795719
240,250,5,1,0.30028896908517405
241,167,3,1,0.2987875242397482
242,210,5,1,0.29729358661854943
243,177,3,1,0.29580711868545667
244,216,4,1,0.2943280830920294
245,163,2,1,0.29285644267656924
246,177,3,1,0.2913921604631864
247,250,5,1,0.28993519966087045
248,187,3,1,0.2884855236625661
249,255,5,1,0.28704309604425327
250,206,4,1,0.285607880564032
251,172,3,1,0.28417984116121187
252,220,5,1,0.2827589419554058
253,163,2,1,0.28134514724562876
254,186,4,1,0.2799384215094006
255,186,4,1,0.27853872940185365
256,220,5,1,0.27714603575484437
257,186,4,1,0.2757603055760701
258,162,3,1,0.2743815040481898
259,221,4,1,0.2730095965279488
260,182,3,1,0.27164454854530906
261,174,6,0,0.2702863258025825
262,196,4,1,0.2689348941735696
263,79,6,0,0.26759021970270175
264,172,3,1,0.2662522686041882
265,211,4,1,0.2649210072611673
266,210,5,1,0.26359640222486147
267,177,3,1,0.26227842021373715
268,211,4,1,0.2609670281126685
269,176,4,1,0.25966219297210513
270,264,6,1,0.2583638820072446
271,177,3,1,0.2570720625972084
272,191,4,1,0.25578670228422234
273,186,4,1,0.25450776877280124
274,221,4,1,0.2532352299289372
275,195,5,1,0.2519690537792925
276,176,4,1,0.2507092085103961
277,176,4,1,0.2494556624678441
278,185,5,1,0.24820838415550486
279,190,5,1,0.24696734223472733
280,201,4,1,0.2457325055235537
281,177,3,1,0.24450384299593592
282,156,4,1,0.24328132378095624
283,191,4,1,0.24206491716205145
284,265,5,1,0.2408545925762412
285,162,3,1,0.23965031961336
286,206,4,1,0.2384520680152932
287,304,6,1,0.23725980767521673
288,206,4,1,0.23607350863684065
289,181,4,1,0.23489314109365644
290,174,6,0,0.23371867538818816
291,225,5,1,0.23255008201124722
292,201,4,1,0.231387331601191
