Episode,Total Reward,Attempts,Success,Epsilon
1,717,3,1,0.999
2,494,4,1,0.998001
3,464,4,1,0.997002999
4,347,5,1,0.996005996001
5,642,3,1,0.995009990004999
6,642,3,1,0.994014980014994
7,479,4,1,0.993020965034979
8,554,4,1,0.9920279440699441
9,509,4,1,0.9910359161258742
10,377,5,1,0.9900448802097482
11,717,3,1,0.9890548353295385
12,464,4,1,0.988065780494209
13,287,5,1,0.9870777147137147
14,482,5,1,0.986090636999001
15,509,4,1,0.9851045463620021
16,419,4,1,0.98411944181564
17,539,4,1,0.9831353223738244
18,539,4,1,0.9821521870514506
19,-315,6,0,0.9811700348643991
20,539,4,1,0.9801888648295347
21,449,4,1,0.9792086759647052
22,494,4,1,0.9782294672887405
23,434,4,1,0.9772512378214517
24,467,5,1,0.9762739865836303
25,494,4,1,0.9752977125970467
26,554,4,1,0.9743224148844496
27,642,3,1,0.9733480924695651
28,569,4,1,0.9723747443770956
29,479,4,1,0.9714023696327185
30,407,5,1,0.9704309672630859
31,449,4,1,0.9694605362958227
32,599,4,1,0.9684910757595269
33,287,5,1,0.9675225846837673
34,-75,6,0,0.9665550620990835
35,642,3,1,0.9655885070369844
36,642,3,1,0.9646229185299474
37,-135,6,0,0.9636582956114175
38,467,5,1,0.9626946373158061
39,494,4,1,0.9617319426784903
40,479,4,1,0.9607702107358118
41,584,4,1,0.959809440525076
42,362,5,1,0.9588496310845509
43,422,5,1,0.9578907814534664
44,479,4,1,0.9569328906720129
45,657,3,1,0.9559759577813409
46,642,3,1,0.9550199818235596
47,509,4,1,0.9540649618417361
48,392,5,1,0.9531108968798944
49,509,4,1,0.9521577859830145
50,479,4,1,0.9512056281970315
51,377,5,1,0.9502544225688344
52,825,2,1,0.9493041681462656
53,612,3,1,0.9483548639781193
54,377,5,1,0.9474065091141411
55,672,3,1,0.946459102605027
56,407,5,1,0.9455126435024219
57,657,3,1,0.9445671308589195
58,404,4,1,0.9436225637280606
59,467,5,1,0.9426789411643326
60,702,3,1,0.9417362622231683
61,642,3,1,0.9407945259609451
62,287,5,1,0.9398537314349842
63,732,3,1,0.9389138777035492
64,642,3,1,0.9379749638258457
65,479,4,1,0.9370369888620198
66,627,3,1,0.9360999518731578
67,464,4,1,0.9351638519212846
68,687,3,1,0.9342286880693633
69,-135,6,0,0.933294459381294
70,539,4,1,0.9323611649219127
71,494,4,1,0.9314288037569908
